experiment,config_fingerprint,track,trial,snr_db,rsr_db,N,K,P,modulation,algorithm,metric,value,error_energy,true_energy,expected_symbol_energy,bit_errors,bit_count,status,error_type,error_message,master_seed,sigma2,alpha_b_abs,max_iter
cui_fig5_smoke,c0e9dc88d0cfa56fdb0f949681a1078c11cb4a9f098a448ff22e44596c40dd7d,A,1,-5,12,36,3,1,16-QAM,genie_zf,detection_nmse,0.61231475581306605,1.8369442674391983,,3,,,ok,,,20260818,9.4868329805051381,3.9810717055349722,50
cui_fig5_smoke,c0e9dc88d0cfa56fdb0f949681a1078c11cb4a9f098a448ff22e44596c40dd7d,A,1,-5,12,36,3,1,16-QAM,cui_crlb,detection_nmse,0.77382417843963924,2.3214725353189176,,3,,,ok,,,20260818,9.4868329805051381,3.9810717055349722,50
cui_fig5_smoke,c0e9dc88d0cfa56fdb0f949681a1078c11cb4a9f098a448ff22e44596c40dd7d,A,1,0,12,36,3,1,16-QAM,biased_gs,detection_nmse,0.27907055474345788,0.83721166423037363,,3,,,ok,,,20260818,3,3.9810717055349727,50
cui_fig5_smoke,c0e9dc88d0cfa56fdb0f949681a1078c11cb4a9f098a448ff22e44596c40dd7d,A,1,0,12,36,3,1,16-QAM,em_gs,detection_nmse,0.17460970141854393,0.52382910425563178,,3,,,ok,,,20260818,3,3.9810717055349727,50
cui_fig5_smoke,c0e9dc88d0cfa56fdb0f949681a1078c11cb4a9f098a448ff22e44596c40dd7d,A,1,0,12,36,3,1,16-QAM,genie_zf,detection_nmse,0.17554177427309045,0.52662532281927132,,3,,,ok,,,20260818,3,3.9810717055349727,50
cui_fig5_smoke,c0e9dc88d0cfa56fdb0f949681a1078c11cb4a9f098a448ff22e44596c40dd7d,A,1,0,12,36,3,1,16-QAM,cui_crlb,detection_nmse,0.2001127060257141,0.60033811807714232,,3,,,ok,,,20260818,3,3.9810717055349727,50
cui_fig5_smoke,c0e9dc88d0cfa56fdb0f949681a1078c11cb4a9f098a448ff22e44596c40dd7d,A,1,6,12,36,3,1,16-QAM,biased_gs,detection_nmse,0.053653856898440398,0.16096157069532119,,3,,,ok,,,20260818,0.75356592945287404,3.9810717055349722,50
cui_fig5_smoke,c0e9dc88d0cfa56fdb0f949681a1078c11cb4a9f098a448ff22e44596c40dd7d,A,1,6,12,36,3,1,16-QAM,em_gs,detection_nmse,0.052671983443563698,0.1580159503306911,,3,,,ok,,,20260818,0.75356592945287404,3.9810717055349722,50
cui_fig5_smoke,c0e9dc88d0cfa56fdb0f949681a1078c11cb4a9f098a448ff22e44596c40dd7d,A,1,6,12,36,3,1,16-QAM,genie_zf,detection_nmse,0.038336703833602333,0.11501011150080699,,3,,,ok,,,20260818,0.75356592945287404,3.9810717055349722,50
cui_fig5_smoke,c0e9dc88d0cfa56fdb0f949681a1078c11cb4a9f098a448ff22e44596c40dd7d,A,1,6,12,36,3,1,16-QAM,cui_crlb,detection_nmse,0.043602612606166762,0.13080783781850028,,3,,,ok,,,20260818,0.75356592945287404,3.9810717055349722,50
cui_fig5_smoke,c0e9dc88d0cfa56fdb0f949681a1078c11cb4a9f098a448ff22e44596c40dd7d,A,1,12,12,36,3,1,16-QAM,biased_gs,detection_nmse,0.014488275752488471,0.043464827257465415,,3,,,ok,,,20260818,0.18928720334405799,3.9810717055349722,50
cui_fig5_smoke,c0e9dc88d0cfa56fdb0f949681a1078c11cb4a9f098a448ff22e44596c40dd7d,A,1,12,12,36,3,1,16-QAM,em_gs,detection_nmse,0.015002389052223087,0.045007167156669262,,3,,,ok,,,20260818,0.18928720334405799,3.9810717055349722,50
