algorithm,snr_db,rsr_db,n_ok,n_failed,nmse_linear,nmse_db,se_linear,se_db,nmse_db_ci95_low,nmse_db_ci95_high,total_error_energy,total_expected_symbol_energy
biased_gs,5.0,12.0,635,0,0.07516888669670185,-11.239618819084818,0.0021196076196656356,0.12246208949922652,-11.479640103974823,-10.999597534194812,143.19672915721702,1905.0
biased_gs,6.0,12.0,635,0,0.05948758958361965,-12.255736281794455,0.0015843315140388742,0.115665542824746,-12.482436579983233,-12.029035983605677,113.32385815679544,1905.0
biased_gs,7.0,12.0,635,0,0.04536103254356352,-13.433170682494492,0.0012181171224423882,0.11662466988169609,-13.661750835171489,-13.204590529817494,86.41276699548851,1905.0
biased_gs,8.0,12.0,635,0,0.036653920509279986,-14.358795663302162,0.0009446134889934697,0.1119226593229987,-14.578160044629186,-14.139431281975138,69.82571857017837,1905.0
biased_gs,9.0,12.0,635,0,0.027717919282773184,-15.57239374274024,0.0007117037880551992,0.1115123486538597,-15.790953929933279,-15.353833555547203,52.80263623368292,1905.0
biased_gs,10.0,12.0,635,0,0.021627006487214686,-16.65003589486228,0.0005912375626654857,0.11872711607653365,-16.882736766360594,-16.417335023363968,41.19944735814398,1905.0
biased_gs,11.0,12.0,635,0,0.01708176657149099,-17.674672172197848,0.0004471236836627502,0.11367872739056996,-17.897478383691713,-17.451865960703984,32.54076531869034,1905.0
biased_gs,12.0,12.0,635,0,0.013838933740538618,-18.58897370026601,0.00037179256854491196,0.11667622951232323,-18.817654907962094,-18.360292492569926,26.363168775726066,1905.0
cui_crlb,-5.0,12.0,635,0,0.782901893258714,-1.0629265669794061,0.002109493235805422,0.01170186558253457,-1.0858618020731028,-1.0399913318857095,1491.42810665785,1905.0
cui_crlb,-4.0,12.0,635,0,0.5902154438332307,-2.28989430749649,0.0015778621270217802,0.01161028268794862,-2.312650043415198,-2.2671385715777816,1124.3604205023044,1905.0
cui_crlb,-3.0,12.0,635,0,0.44955692512364676,-3.472153079312253,0.0011639692791039365,0.01124452559329857,-3.4941919444983567,-3.450114214126149,856.4059423605471,1905.0
cui_crlb,-2.0,12.0,635,0,0.3437124607773087,-4.638047228853855,0.0007922990794270766,0.010011016692093167,-4.657668461018988,-4.618425996688723,654.7722377807731,1905.0
cui_crlb,-1.0,12.0,635,0,0.26481202396431414,-5.770622993577243,0.0005777495357642924,0.009475152659171189,-5.7891939515372375,-5.752052035617249,504.46690565201845,1905.0
cui_crlb,0.0,12.0,635,0,0.20472003459783875,-6.888396537247729,0.00044934617235116474,0.009532460440416444,-6.907079816394998,-6.86971325810046,389.9916659088828,1905.0
cui_crlb,1.0,12.0,635,0,0.15843663909358885,-8.001443788314274,0.0003148792383493052,0.008631230532492129,-8.018360689300222,-7.984526887328327,301.8217974732868,1905.0
cui_crlb,2.0,12.0,635,0,0.12379142596015691,-9.07309434371979,0.0002443012931645619,0.008570763501613303,-9.089892731502962,-9.056295955936617,235.8226664540989,1905.0
cui_crlb,3.0,12.0,635,0,0.09668551278868527,-10.146385950719024,0.0001883693935990767,0.00846122504188801,-10.162969647066213,-10.129802254371835,184.18590186244543,1905.0
cui_crlb,4.0,12.0,635,0,0.07548738120075726,-11.221256408596481,0.00013082475652178657,0.007526618217506582,-11.236008309228177,-11.206504507964786,143.8034611874426,1905.0
cui_crlb,5.0,12.0,635,0,0.05930050264442732,-12.269416254422133,0.00010099839421715505,0.007396740893177184,-12.283913600175735,-12.25491890866853,112.96745753763405,1905.0
cui_crlb,6.0,12.0,635,0,0.046543872481319165,-13.32137485954684,7.864869390166796e-05,0.007338601613800279,-13.335758254406775,-13.306991464686904,88.66607707691301,1905.0
cui_crlb,7.0,12.0,635,0,0.03672351186310225,-14.350557939784832,5.746767706276096e-05,0.0067961623956862005,-14.363878173313461,-14.337237706256202,69.95829009920979,1905.0
cui_crlb,8.0,12.0,635,0,0.029045020036248162,-15.369283195964627,4.702708453648102e-05,0.007031705706762401,-15.383065085899766,-15.355501306029488,55.33076316905275,1905.0
cui_crlb,9.0,12.0,635,0,0.022922193360607024,-16.397438282913456,3.490919648154811e-05,0.006614057896251541,-16.41040159818177,-16.38447496764514,43.66677835195638,1905.0
cui_crlb,10.0,12.0,635,0,0.0180899054442994,-17.42563703185865,2.753167584104181e-05,0.006609683468014722,-17.438591773405168,-17.41268229031213,34.46126987139036,1905.0
cui_crlb,11.0,12.0,635,0,0.014314560295989714,-18.44221987772191,2.1988745522242082e-05,0.006671242879154263,-18.45529527349717,-18.42914448194665,27.269237363860405,1905.0
cui_crlb,12.0,12.0,635,0,0.0113101596905539,-19.465312631349544,1.5782233456048868e-05,0.0060601592635295826,-19.47719032524664,-19.45343493745245,21.54585421050518,1905.0
em_gs,-5.0,12.0,635,0,0.8971675842707065,-0.4712642638051312,0.026246852572116598,0.12705389092567768,-0.7202853141151399,-0.22224321349512258,1709.104248035696,1905.0
em_gs,-4.0,12.0,635,0,0.6872125834759832,-1.6290889678428142,0.02089305946156424,0.1320368784334256,-1.8878764942034219,-1.3703014414822066,1309.139971521748,1905.0
em_gs,-3.0,12.0,635,0,0.5463598409966542,-2.625212300339022,0.017063096220912222,0.1356323795579219,-2.8910468794100157,-2.3593777212680282,1040.8154970986263,1905.0
em_gs,-2.0,12.0,635,0,0.4092860538350468,-3.8797305341403066,0.01307367269606361,0.13872507643267876,-4.151626687700923,-3.60783438057969,779.6899325557641,1905.0
em_gs,-1.0,12.0,635,0,0.3241346907740534,-4.8927448576664965,0.009784548676546894,0.13109906526790802,-5.149694303998462,-4.635795411334531,617.4765859245717,1905.0
em_gs,0.0,12.0,635,0,0.2530539991970563,-5.967867948282648,0.007079219028680986,0.12149445454709157,-6.205992703516286,-5.72974319304901,482.0678684703923,1905.0
em_gs,1.0,12.0,635,0,0.18962136784270003,-7.221127249447269,0.005136102810818032,0.11763342573693622,-7.451684527269731,-6.990569971624807,361.22870574034357,1905.0
em_gs,2.0,12.0,635,0,0.14875869682176077,-8.275176348680343,0.004306470050083423,0.12572550171461724,-8.521593803979222,-8.028758893381465,283.38531744545423,1905.0
em_gs,3.0,12.0,635,0,0.11078098444026876,-9.555347798728803,0.0029832971444812544,0.11695414102629845,-9.784573702983167,-9.32612189447444,211.037775358712,1905.0
em_gs,4.0,12.0,635,0,0.08513857087553518,-10.698736441057717,0.0023332531410851487,0.11901996399940624,-10.932011283937808,-10.465461598177626,162.18897751789453,1905.0
em_gs,5.0,12.0,635,0,0.06896784519394923,-11.613533427365404,0.0019105697913673347,0.12030967697315807,-11.849336061224442,-11.377730793506366,131.38374509447328,1905.0
em_gs,6.0,12.0,635,0,0.05508746123571396,-12.58947242088949,0.0015293307847741198,0.12056825744613782,-12.825781863162673,-12.353162978616306,104.9416136540351,1905.0
em_gs,7.0,12.0,635,0,0.04265222133135403,-13.70058345813505,0.001117142530920747,0.1137499575717669,-13.923529278218671,-13.477637638051428,81.25248163622943,1905.0
em_gs,8.0,12.0,635,0,0.034658115960379515,-14.601950495346864,0.0008824774098615683,0.11058162248210003,-14.818686492763785,-14.385214497929944,66.02371090452297,1905.0
em_gs,9.0,12.0,635,0,0.02642114292713893,-15.780483995824465,0.0006820818211123994,0.1121164106838709,-16.000228122840753,-15.560739868808176,50.33227727619966,1905.0
em_gs,10.0,12.0,635,0,0.02080351899349353,-16.818631962780223,0.0005637532820204847,0.11768919460833444,-17.049298545582083,-16.587965379978364,39.63070368260517,1905.0
em_gs,11.0,12.0,635,0,0.01673266781397782,-17.76434810709994,0.0004376573827230747,0.113593473792668,-17.986987224612363,-17.54170898958752,31.875732185627744,1905.0
em_gs,12.0,12.0,635,0,0.013550327391098986,-18.68050211621307,0.00036233540671828745,0.11613023301510068,-18.90811319043891,-18.45289104198723,25.81337368004357,1905.0
genie_zf,-5.0,12.0,635,0,0.28837165996621056,-5.400474226109266,0.006664417619369734,0.10036769207938873,-5.597191287796274,-5.203757164422258,549.3480122356311,1905.0
genie_zf,-4.0,12.0,635,0,0.22262711532434082,-6.524219409960816,0.0054919638745404625,0.10713562910115776,-6.7342013844601265,-6.314237435461505,424.10465469286925,1905.0
genie_zf,-3.0,12.0,635,0,0.17644897387748176,-7.533808628956425,0.004159424326986479,0.10237605770145583,-7.7344620149304735,-7.333155242982377,336.13529523660276,1905.0
genie_zf,-2.0,12.0,635,0,0.143046494858001,-8.445227794698944,0.003471693759214537,0.10540191453006426,-8.651811751079439,-8.238643838318449,272.5035727044919,1905.0
genie_zf,-1.0,12.0,635,0,0.1133850392788505,-9.454442451545095,0.0026451972672429437,0.1013180031524189,-9.653022088709351,-9.255862814380839,215.9984998262102,1905.0
genie_zf,0.0,12.0,635,0,0.09228326948948924,-10.348770273272505,0.002135402645784117,0.10049422726741093,-10.545735339370813,-10.151805207174197,175.799628377477,1905.0
genie_zf,1.0,12.0,635,0,0.06948027563329148,-11.581384673438212,0.0016119934600895406,0.1007595117031421,-11.778869687476213,-11.38389965940021,132.35992508142027,1905.0
genie_zf,2.0,12.0,635,0,0.054987476683468255,-12.597362091704472,0.0013226485929032277,0.10446360153996097,-12.802106988418139,-12.392617194990805,104.75114308200702,1905.0
genie_zf,3.0,12.0,635,0,0.0437754067829258,-13.587698095447063,0.0010176441497012356,0.10096016718884145,-13.785576387010336,-13.38981980388379,83.39214992147366,1905.0
genie_zf,4.0,12.0,635,0,0.0351870241746574,-14.536174606207169,0.0007954287063834165,0.09817547974931107,-14.72859501068076,-14.343754201733578,67.03128105272233,1905.0
genie_zf,5.0,12.0,635,0,0.028012770116339316,-15.526439427024854,0.0006667251429263747,0.1033653756185253,-15.729031840485618,-15.323847013564091,53.3643270716264,1905.0
genie_zf,6.0,12.0,635,0,0.022280747260043445,-16.520702477231186,0.0005380785670440931,0.10488182903844082,-16.726267084779217,-16.315137869683156,42.44482353038276,1905.0
genie_zf,7.0,12.0,635,0,0.017274743527470878,-17.625883917355875,0.00043606526448069843,0.10962868294541667,-17.840752187601453,-17.411015647110297,32.90838641983202,1905.0
genie_zf,8.0,12.0,635,0,0.01367144232989766,-18.641856651781723,0.0003373032763052564,0.10714959555284703,-18.851866000023335,-18.43184730354011,26.044097638455042,1905.0
genie_zf,9.0,12.0,635,0,0.011131432788135269,-19.534489316282368,0.0002570742219368785,0.1002978845147041,-19.731069557656745,-19.33790907490799,21.205379461397687,1905.0
genie_zf,10.0,12.0,635,0,0.008938556652944673,-20.487326029342793,0.00021182265157206845,0.10291752045847206,-20.68904066281956,-20.285611395866024,17.0279504238596,1905.0
genie_zf,11.0,12.0,635,0,0.007140420412126047,-21.462762171746196,0.00017307954430104968,0.10527039961487969,-21.6690883636295,-21.256435979862893,13.602500885100119,1905.0
genie_zf,12.0,12.0,635,0,0.005771312969249524,-22.387253739442187,0.00015020499023472806,0.11303008303456613,-22.60878863135951,-22.165718847524865,10.994351206420344,1905.0
