epoch,train_loss,val_nmse_db,lr,seconds
0,0.02786879035793245,-15.696648851757187,0.000985470908713026,666.6
1,0.02603705982044339,-15.949092219435137,0.000942728012826605,556.8
2,0.024174444076418878,-16.257255615279078,0.0008742553740855506,563.8
3,0.022812878320366145,-16.463790765065095,0.0007840323733655781,562.7
4,0.021648169829696418,-16.62123546637676,0.0006773024435212678,572.7
5,0.020876853612437844,-16.76732128146738,0.0005602683401276615,561.6
6,0.020190199158340694,-16.84674985919846,0.00043973165987233864,552.9
7,0.019562779123708605,-16.961610301335433,0.00032269755647873233,566.7
8,0.019054796400293707,-17.018020506455322,0.00021596762663442218,576.3
9,0.018658255688101054,-17.059446315965904,0.00012574462591444943,573.3
10,0.01835981444455683,-17.09987252518412,5.727198717339522e-05,569.6
11,0.018134902949631215,-17.10996911722251,1.4529091286973998e-05,567.3
12,0.01800726179033518,-17.117218870302516,0.0,556.4
