epoch,train_loss,val_nmse_db,lr,seconds
0,-8.920112754821778,-5.341709255030263,0.000985470908713026,1328.2
1,-9.844165739631652,-5.6487810414384585,0.000942728012826605,647.5
2,-10.168449787521363,-5.83990929255393,0.0008742553740855506,663.9
3,-10.416476463127136,-6.003701269031491,0.0007840323733655781,654.3
4,-10.655821489715576,-6.165017715058986,0.0006773024435212678,648.6
5,-10.966696863365174,-6.344301051106714,0.0005602683401276615,655.6
6,-11.374108305931092,-6.524328439496,0.00043973165987233864,657.8
7,-11.738847052383424,-6.653410917257736,0.00032269755647873233,655.6
8,-11.971594548034668,-6.72839116884708,0.00021596762663442218,658.4
9,-12.117214022445678,-6.7691372581629015,0.00012574462591444943,636.8
10,-12.217421320915221,-6.7888227184730106,5.727198717339522e-05,647.5
11,-12.282777313232423,-6.805641160581009,1.4529091286973998e-05,641.0
