epoch,train_loss,val_nmse_db,lr,seconds
0,-4.5701963868501485,-5.25165073877035,0.000985470908713026,1458.8
1,-5.431689646674092,-5.454135598802506,0.000942728012826605,672.9
2,-5.626197397315572,-5.606593045130166,0.0008742553740855506,717.0
3,-5.81943582445997,-5.8670351975504875,0.0007840323733655781,708.7
4,-6.106750405445693,-6.166190795526537,0.0006773024435212678,705.5
5,-6.406501119659776,-6.393952476975815,0.0005602683401276615,661.9
6,-6.602017398302875,-6.529845900705576,0.00043973165987233864,664.6
7,-6.746190384986363,-6.5856081740845,0.00032269755647873233,676.6
8,-6.8679516911578915,-6.635629487368764,0.00021596762663442218,652.9
