algorithm,rsr_db,ber,ber_ci95_low,ber_ci95_high,bit_errors,bit_count,n_trials
biased_gs,0.0,0.10111111111111111,0.09679169691739149,0.10560074622620506,1820,18000,3000
biased_gs,1.0,0.08166666666666667,0.07775467144364406,0.08575718048828937,1470,18000,3000
biased_gs,2.0,0.06427777777777778,0.060787179728029286,0.06795431492033115,1157,18000,3000
biased_gs,3.0,0.04827777777777778,0.04524159754076347,0.05150672491057133,869,18000,3000
biased_gs,4.0,0.034888888888888886,0.03230590418434329,0.037670354032674894,628,18000,3000
biased_gs,5.0,0.0245,0.022340980053767792,0.0268619337158761,441,18000,3000
biased_gs,6.0,0.020777777777777777,0.01879396296980105,0.022966094767895892,374,18000,3000
biased_gs,7.0,0.014604166666666666,0.013569173487347616,0.01571684646642363,701,48000,8000
biased_gs,8.0,0.0113125,0.010404738297199198,0.012298475147824709,543,48000,8000
biased_gs,9.0,0.008916666666666666,0.008114104596819528,0.009797825629812334,428,48000,8000
biased_gs,10.0,0.006895833333333334,0.006193954271508381,0.007676632718740624,331,48000,8000
biased_gs,11.0,0.005791666666666666,0.00515125043104759,0.006511179945507686,278,48000,8000
biased_gs,12.0,0.005270833333333333,0.004661472623067142,0.005959374445142039,253,48000,8000
biased_gs,13.0,0.004166666666666667,0.0036287481660588518,0.0047839422884566035,200,48000,8000
biased_gs,14.0,0.003958333333333334,0.0034349269037584032,0.0045611302274186135,190,48000,8000
biased_gs,15.0,0.0035714285714285713,0.0031900855631163357,0.0039981745013558554,300,84000,14000
biased_gs,16.0,0.0026666666666666666,0.002339927677614163,0.00303889132606426,224,84000,14000
biased_gs,17.0,0.0024285714285714284,0.0021177003221128114,0.002784949981356725,204,84000,14000
biased_gs,18.0,0.002630952380952381,0.0023065469203327176,0.0030008467783143727,221,84000,14000
biased_gs,19.0,0.0025952380952380953,0.0022731821024388104,0.0029627862911769474,218,84000,14000
biased_gs,20.0,0.0020476190476190477,0.0017638555059277213,0.0023769248772075972,172,84000,14000
biased_gs,21.0,0.0019642857142857144,0.0016867805017825803,0.0022873408362796286,165,84000,14000
biased_gs,22.0,0.0017619047619047618,0.0015001748357194537,0.0020692031071652016,148,84000,14000
biased_gs,23.0,0.0019285714285714286,0.001653788925867576,0.0022489071071633,162,84000,14000
biased_gs,24.0,0.0017976190476190477,0.0015330419117219232,0.0021077613361940653,151,84000,14000
biased_gs,25.0,0.0015,0.00126009651634971,0.0017854958563051707,126,84000,14000
em_gs,0.0,0.0651111111111111,0.061598805797684675,0.06880899990260417,1172,18000,3000
em_gs,1.0,0.050777777777777776,0.04766528923311988,0.054081966374000166,914,18000,3000
em_gs,2.0,0.03661111111111111,0.033964906030095394,0.03945506169424152,659,18000,3000
em_gs,3.0,0.0255,0.02329637634961483,0.02790611068234316,459,18000,3000
em_gs,4.0,0.019166666666666665,0.01726384091980519,0.02127468211749681,345,18000,3000
em_gs,5.0,0.01338888888888889,0.011810663355122576,0.015174769722142382,241,18000,3000
em_gs,6.0,0.010888888888888889,0.009473729588834284,0.012512770332645414,196,18000,3000
em_gs,7.0,0.0076875,0.006944587865201143,0.008509205753733928,369,48000,8000
em_gs,8.0,0.006520833333333333,0.005839227228318078,0.0072814197799217365,313,48000,8000
em_gs,9.0,0.0049375,0.004348835856284499,0.00560539789458318,237,48000,8000
em_gs,10.0,0.004375,0.0038229302751994865,0.005006393502654407,210,48000,8000
em_gs,11.0,0.0036458333333333334,0.0031449352858099137,0.004226171860359444,175,48000,8000
em_gs,12.0,0.0035625,0.0030677663704334343,0.0041366874464005485,171,48000,8000
em_gs,13.0,0.002875,0.002434167611714078,0.0033953962381030565,138,48000,8000
em_gs,14.0,0.0026458333333333334,0.002224380962832513,0.003146886231312339,127,48000,8000
em_gs,15.0,0.0024047619047619048,0.0020955196686360655,0.002759513764812583,202,84000,14000
em_gs,16.0,0.002214285714285714,0.0019183765558156516,0.0025557219174658875,186,84000,14000
em_gs,17.0,0.0019642857142857144,0.0016867805017825803,0.0022873408362796286,165,84000,14000
em_gs,18.0,0.0020714285714285713,0.0017859004297306337,0.002402496823425574,174,84000,14000
em_gs,19.0,0.0021071428571428573,0.0018189867255632038,0.0024408358326243377,177,84000,14000
em_gs,20.0,0.0016666666666666668,0.0014126733178148102,0.001966237144986291,140,84000,14000
em_gs,21.0,0.001738095238095238,0.0014782794841347398,0.002043481588729027,146,84000,14000
em_gs,22.0,0.0014285714285714286,0.0011949446069422255,0.001707797155649989,120,84000,14000
em_gs,23.0,0.00175,0.001489225535124802,0.002056343972749409,147,84000,14000
em_gs,24.0,0.0015357142857142857,0.0012927283225471558,0.0018242893551390575,129,84000,14000
em_gs,25.0,0.0013571428571428571,0.0011299510060341833,0.0016299401464953656,114,84000,14000
exhaustive_ls,0.0,0.02372222222222222,0.021598572423422772,0.026049117697754587,427,18000,3000
exhaustive_ls,1.0,0.01877777777777778,0.016895033599401636,0.020865877613667108,338,18000,3000
exhaustive_ls,2.0,0.014611111111111111,0.012958907202273265,0.01647044875115337,263,18000,3000
exhaustive_ls,3.0,0.009833333333333333,0.008492778227528251,0.01138306102817545,177,18000,3000
exhaustive_ls,4.0,0.006666666666666667,0.005578590465021374,0.007965266793354336,120,18000,3000
exhaustive_ls,5.0,0.0065,0.005426751719153641,0.007783843328836383,117,18000,3000
exhaustive_ls,6.0,0.004944444444444444,0.004020058523472405,0.006080089227584569,89,18000,3000
exhaustive_ls,7.0,0.00325,0.0027790534514305527,0.0038004503803957717,156,48000,8000
exhaustive_ls,8.0,0.0030833333333333333,0.0026255434432565115,0.003620653729899062,148,48000,8000
exhaustive_ls,9.0,0.0026041666666666665,0.002186326920589921,0.0031016136088872423,125,48000,8000
exhaustive_ls,10.0,0.0020416666666666665,0.001675760859960019,0.0024872696965033596,98,48000,8000
exhaustive_ls,11.0,0.0017916666666666667,0.0014511290073510254,0.002211941561106227,86,48000,8000
exhaustive_ls,12.0,0.0017916666666666667,0.0014511290073510254,0.002211941561106227,86,48000,8000
exhaustive_ls,13.0,0.0012291666666666666,0.0009531135084566293,0.0015850470869868375,59,48000,8000
exhaustive_ls,14.0,0.00125,0.0009713245942960392,0.0016084993334812717,60,48000,8000
exhaustive_ls,15.0,0.0010357142857142856,0.000839821072352454,0.0012772423348950982,87,84000,14000
exhaustive_ls,16.0,0.0010476190476190477,0.0008504868798447638,0.001290384962413233,88,84000,14000
exhaustive_ls,17.0,0.0010714285714285715,0.0008718392686538858,0.0013166494436249996,90,84000,14000
exhaustive_ls,18.0,0.001,0.0008078666357436092,0.00123777146647261,84,84000,14000
exhaustive_ls,19.0,0.0008928571428571428,0.000712421547953597,0.0011189406391686235,75,84000,14000
exhaustive_ls,20.0,0.0007142857142857143,0.0005550136121163595,0.0009192220498491964,60,84000,14000
exhaustive_ls,21.0,0.0007857142857142857,0.0006176942559421365,0.0009993920160860851,66,84000,14000
exhaustive_ls,22.0,0.0006785714285714286,0.0005238351998572831,0.0008789751570769397,57,84000,14000
exhaustive_ls,23.0,0.0007023809523809524,0.0005446081233014125,0.0009058191036536991,59,84000,14000
exhaustive_ls,24.0,0.000619047619047619,0.00047214088478814424,0.000811627297093857,52,84000,14000
exhaustive_ls,25.0,0.0006666666666666666,0.0005134684214346523,0.0008655335004891263,56,84000,14000
exhaustive_ml,0.0,0.013444444444444445,0.011862782207944117,0.015233738272782736,242,18000,3000
exhaustive_ml,1.0,0.01211111111111111,0.010614063715641869,0.013816359081999512,218,18000,3000
exhaustive_ml,2.0,0.008666666666666666,0.007413503109329589,0.010129500673674324,156,18000,3000
exhaustive_ml,3.0,0.006333333333333333,0.005275106105424822,0.007602226732179518,114,18000,3000
exhaustive_ml,4.0,0.004611111111111111,0.0037215713285854613,0.005712052001700146,83,18000,3000
exhaustive_ml,5.0,0.003944444444444445,0.003128601551716164,0.004971972937026708,71,18000,3000
exhaustive_ml,6.0,0.003611111111111111,0.002834452655910996,0.004599597412060506,65,18000,3000
exhaustive_ml,7.0,0.002458333333333333,0.0020533708200445146,0.002942926383095742,118,48000,8000
exhaustive_ml,8.0,0.00225,0.0018641143874928282,0.0027155494923089894,108,48000,8000
exhaustive_ml,9.0,0.001875,0.0015258213113493976,0.00230390258644323,90,48000,8000
exhaustive_ml,10.0,0.0016458333333333333,0.0013209125554328887,0.002050514686687456,79,48000,8000
exhaustive_ml,11.0,0.0015416666666666667,0.0012283255904114254,0.0019347849900397,74,48000,8000
exhaustive_ml,12.0,0.0013125,0.0010260847355307175,0.0016787291892481253,63,48000,8000
exhaustive_ml,13.0,0.0011875,0.0009167579831445192,0.0015380759476312602,57,48000,8000
exhaustive_ml,14.0,0.0009791666666666666,0.0007364790159218515,0.001301721591515489,47,48000,8000
exhaustive_ml,15.0,0.0010238095238095238,0.0008291623469834609,0.0012640926252536473,86,84000,14000
exhaustive_ml,16.0,0.0008571428571428571,0.0006807595634479155,0.001079177318642972,72,84000,14000
exhaustive_ml,17.0,0.0009642857142857143,0.0007759793637076242,0.0011982334334772623,81,84000,14000
exhaustive_ml,18.0,0.0008809523809523809,0.0007018584919178774,0.0011056952601938988,74,84000,14000
exhaustive_ml,19.0,0.0008214285714285715,0.0006491819709758789,0.001039329606083676,69,84000,14000
exhaustive_ml,20.0,0.0006071428571428571,0.0004618458527931401,0.0007981138940784168,51,84000,14000
exhaustive_ml,21.0,0.0007619047619047619,0.0005967553651588147,0.0009727140368485186,64,84000,14000
exhaustive_ml,22.0,0.0006071428571428571,0.0004618458527931401,0.0007981138940784168,51,84000,14000
exhaustive_ml,23.0,0.0007261904761904762,0.0005654313705796955,0.0009326127263963046,61,84000,14000
exhaustive_ml,24.0,0.000619047619047619,0.00047214088478814424,0.000811627297093857,52,84000,14000
exhaustive_ml,25.0,0.0006071428571428571,0.0004618458527931401,0.0007981138940784168,51,84000,14000
genie_zf,0.0,0.0,0.0,0.00021336884294835114,0,18000,3000
genie_zf,1.0,0.0,0.0,0.00021336884294835114,0,18000,3000
genie_zf,2.0,0.0,0.0,0.00021336884294835114,0,18000,3000
