epoch,train_loss,val_nmse_db,lr,seconds
0,-8.824709831333161,-5.310848113788147,0.000985470908713026,549.4
1,-9.796185081672668,-5.678191412042936,0.000942728012826605,448.5
2,-10.226458378410339,-5.8876951148183405,0.0008742553740855506,459.2
3,-10.668444628715514,-6.149340979255236,0.0007840323733655781,456.3
4,-11.212375238418579,-6.508144910564363,0.0006773024435212678,456.2
5,-11.716474244499206,-6.635998357695088,0.0005602683401276615,452.2
6,-11.956348507881165,-6.712058598824239,0.00043973165987233864,459.8
7,-12.1103611410141,-6.758717606960935,0.00032269755647873233,449.5
8,-12.235185638999939,-6.788673048068445,0.00021596762663442218,445.9
9,-12.335088600349426,-6.822303024597377,0.00012574462591444943,469.2
