epoch,train_loss_db,val_nmse_db,lr,seconds
0,-4.5701963868501485,-5.25165073877035,0.000985470908713026,1373.5
1,-5.431689646674092,-5.454135598802506,0.000942728012826605,627.3
2,-5.626197397315572,-5.606593045130166,0.0008742553740855506,674.4
3,-5.81943582445997,-5.8670351975504875,0.0007840323733655781,655.8
4,-6.106750405445693,-6.166190795526537,0.0006773024435212678,644.0
5,-6.406501119659776,-6.393952476975815,0.0005602683401276615,620.2
6,-6.602017398302875,-6.529845900705576,0.00043973165987233864,614.1
7,-6.746190384986363,-6.5856081740845,0.00032269755647873233,650.1
8,-6.8679516911578915,-6.635629487368764,0.00021596762663442218,613.0
9,-6.972410399587254,-6.644988242298466,0.00012574462591444943,624.8
10,-7.062946087217867,-6.6493754582771984,5.727198717339522e-05,611.1
11,-7.131888387440969,-6.6455704962563384,1.4529091286973998e-05,638.6
12,-7.174584713110617,-6.634180992196377,0.0,646.6
