epoch,train_loss_db,val_nmse_db,lr,seconds,mean_alpha
0,-3.6498354908485164,-4.526456157561175,0.0009990133642141358,176.7,0.125499577075243
1,-4.635875642920315,-4.9228948134843105,0.000996057350657239,82.0,0.12114017307758332
2,-5.008562173223805,-5.107987665818552,0.0009911436253643444,82.3,0.11651408299803734
3,-5.194097930194836,-5.167917871557517,0.0009842915805643156,84.9,0.12168626338243485
4,-5.3291666920917455,-5.2595728345434996,0.0009755282581475769,81.7,0.12233329750597477
5,-5.439459358426326,-5.318849707134845,0.0009648882429441258,82.6,0.12153356783092022
6,-5.549594997496991,-5.341612895657827,0.0009524135262330099,88.5,0.12063801065087318
7,-5.644551578458775,-5.314921569257233,0.0009381533400219318,84.4,0.12126733213663102
8,-5.737734368868298,-5.326632019827461,0.0009221639627510075,83.5,0.12111440598964691
9,-5.8337190058858095,-5.383116362742201,0.0009045084971874736,85.3,0.12100385390222072
10,-5.945308298278087,-5.381504956641128,0.0008852566213878945,88.3,0.12160187810659409
11,-6.037003890989658,-5.368728650683544,0.0008644843137107056,85.9,0.12197858095169067
12,-6.1592611905180945,-5.4316274420783826,0.0008422735529643443,84.5,0.12113040257245303
13,-6.2580065004969585,-5.390524389485681,0.0008187119948743448,84.2,0.1204224576242268
14,-6.369745117832592,-5.435274377890831,0.0007938926261462366,86.6,0.11986430762335658
15,-6.483877705650759,-5.431877692771723,0.0007679133974894982,84.5,0.11977875232696533
16,-6.596342268061406,-5.406948643651232,0.0007408768370508576,82.6,0.12023363634943962
17,-6.70196596130583,-5.43440972920647,0.0007128896457825362,80.6,0.11939576994627714
18,-6.815656296441386,-5.456207095073202,0.0006840622763423389,81.8,0.11894406820647418
19,-6.926200479357765,-5.426515426255961,0.0006545084971874735,80.0,0.11871215226128698
20,-7.044168009675071,-5.458073536627746,0.0006243449435824271,84.5,0.11864033536985516
21,-7.153468865472532,-5.4574710897106895,0.0005936906572928622,80.9,0.11803316697478294
22,-7.270967952765398,-5.44474402425889,0.000562666616782152,84.9,0.1174019849859178
23,-7.380047624415431,-5.415878650889036,0.0005313952597646566,89.6,0.1167526344768703
24,-7.495014348629224,-5.411495548448123,0.0004999999999999998,87.3,0.11677679002750666
25,-7.599427835756158,-5.442864728182082,0.00046860474023534314,84.7,0.11683939648792148
26,-7.686446342410335,-5.408024467810412,0.00043733338321784774,88.0,0.11650065046269446
27,-7.807541985254224,-5.432389259765392,0.00040630934270713756,86.0,0.11617495296522976
28,-7.897038010232251,-5.4186874665305895,0.00037565505641757246,86.3,0.1156774826347828
29,-7.995271075631827,-5.400799855414239,0.00034549150281252633,83.8,0.11546575205866247
30,-8.090323043665142,-5.368139245348482,0.00031593772365766105,84.8,0.11559509066864848
31,-8.18629295694728,-5.355704575042068,0.00028711035421746355,83.6,0.11544232675805688
32,-8.275938986571282,-5.343547646235104,0.0002591231629491422,86.4,0.11515056879725308
33,-8.363446765774174,-5.310770393500858,0.00023208660251050145,84.7,0.11513010268099606
34,-8.44369165134603,-5.278221087405487,0.00020610737385376337,85.7,0.11540391359012574
35,-8.520737365527907,-5.275874882107131,0.00018128800512565502,86.7,0.1152886358788237
36,-8.596244964468152,-5.263580216941105,0.00015772644703565555,86.9,0.11525801189709454
37,-8.664364471360827,-5.239397960407702,0.00013551568628929425,83.7,0.11516073938691988
38,-8.729317723596282,-5.227134167098338,0.00011474337861210535,85.2,0.11515498257940635
39,-8.790324156625887,-5.205160817891882,9.549150281252626e-05,85.0,0.11511520452331751
40,-8.843935037042593,-5.190138218928348,7.783603724899252e-05,85.7,0.11501730378950015
41,-8.894174894308186,-5.166416724548623,6.184665997806817e-05,84.2,0.11498427966143936
42,-8.936048315182179,-5.154048292524777,4.7586473766990294e-05,83.4,0.11498850694624707
43,-8.972491795031459,-5.135647869153629,3.5111757055874305e-05,85.6,0.11495201942743734
44,-9.003339408373146,-5.1309777409672455,2.4471741852423218e-05,85.2,0.11494352489244193
45,-9.02769876390334,-5.115412126654283,1.5708419435684507e-05,85.4,0.11494898370001465
46,-9.04693395326526,-5.108442636072867,8.856374635655634e-06,92.0,0.11494748307159171
47,-9.061057379068586,-5.102797706188948,3.942649342761115e-06,84.9,0.1149417846580036
48,-9.07051006105295,-5.102051160261948,9.866357858642198e-07,82.1,0.11493932066950947
49,-9.075754121937942,-5.102127457340151,0.0,84.3,0.11493895964231342
