algorithm,snr_db,rsr_db,n_ok,n_failed,nmse_linear,nmse_db,se_linear,se_db,nmse_db_ci95_low,nmse_db_ci95_high,total_error_energy,total_expected_symbol_energy
biased_gs,-5.0,12.0,32,0,1.6055826980688377,2.056326795007816,0.16170698603243297,0.43740164741162946,1.199035319302535,2.913618270713097,154.13593901460843,96.0
biased_gs,0.0,12.0,32,0,0.3518326081498306,-4.53663912225731,0.04217170640578264,0.5205583268926529,-5.556914694819338,-3.5163635496952823,33.775930382383734,96.0
biased_gs,6.0,12.0,32,0,0.06849255174852208,-11.643566534767949,0.007762622040899144,0.4922088360557834,-12.608278126309663,-10.678854943226234,6.575284967858119,96.0
biased_gs,12.0,12.0,32,0,0.01627732180508641,-17.884170503654172,0.002376000779906557,0.6339396861889113,-19.126669456955064,-16.64167155035328,1.5626228932882955,96.0
cui_crlb,-5.0,12.0,32,0,0.8062229435335296,-0.9354484683265212,0.009469123274916055,0.05100807437622447,-1.0354224570246615,-0.8354744796283808,77.39740257921885,96.0
cui_crlb,0.0,12.0,32,0,0.21050648659018636,-6.76734517182609,0.0015004034822745866,0.03095472085137419,-6.828015309846275,-6.706675033805905,20.208622712657892,96.0
cui_crlb,6.0,12.0,32,0,0.04699282578314312,-13.279684390986148,0.0003692847553160526,0.03412825868885794,-13.346574548871375,-13.21279423310092,4.51131127518174,96.0
cui_crlb,12.0,12.0,32,0,0.011644971171624455,-19.33861582270556,7.764195682318126e-05,0.02895625323199004,-19.39536903616748,-19.28186260924364,1.1179172324759477,96.0
em_gs,-5.0,12.0,32,0,0.9337304581345967,-0.29778474347222994,0.1032932460670702,0.4804350805308833,-1.2394201982223616,0.6438507112779018,89.63812398092128,96.0
em_gs,0.0,12.0,32,0,0.2673557223713861,-5.729105160045601,0.03315501322013026,0.5385723245874687,-6.784687519307056,-4.673522800784147,25.666149347653068,96.0
em_gs,6.0,12.0,32,0,0.06293977770271761,-12.01074795306713,0.007095936432761126,0.48963090579065377,-12.970406894134536,-11.051089011999723,6.04221865946089,96.0
em_gs,12.0,12.0,32,0,0.015586037620434728,-18.07264279827396,0.0023380886691591013,0.6514927218480517,-19.349545069286112,-16.79574052726181,1.496259611561734,96.0
genie_zf,-5.0,12.0,32,0,0.31871400753527435,-4.965988487898707,0.03279865093344847,0.44692962271798153,-5.841954452050024,-4.090022523747389,30.596544723386337,96.0
genie_zf,0.0,12.0,32,0,0.10239589367365658,-9.897174592843074,0.011018904621647377,0.4673477912162456,-10.81315943188126,-8.981189753804887,9.830005792671031,96.0
genie_zf,6.0,12.0,32,0,0.019453976890091,-17.10991604370474,0.0023679529275446097,0.5286265608566085,-18.146005064254965,-16.073827023154514,1.8675817814487359,96.0
genie_zf,12.0,12.0,32,0,0.005426704322889354,-22.65463840560894,0.0006503330645423185,0.5204559609755596,-23.67471334466022,-21.63456346655766,0.520963614997378,96.0
