epoch,train_loss,val_nmse_db,lr,seconds
0,-5.241181866496554,-5.667099949370698,0.000985470908713026,1636.1
1,-5.85146767653563,-5.882722779498709,0.000942728012826605,860.9
2,-6.01320845314911,-5.992775482784031,0.0008742553740855506,839.1
3,-6.132851607784442,-6.115817018682611,0.0007840323733655781,863.6
4,-6.260224886521821,-6.227948365316359,0.0006773024435212678,871.0
5,-6.397909372756282,-6.324263193461661,0.0005602683401276615,878.9
6,-6.521899692685284,-6.410198202872825,0.00043973165987233864,1038.1
7,-6.630773737359654,-6.450067005312654,0.00032269755647873233,996.9
8,-6.733730617111993,-6.479576594987604,0.00021596762663442218,872.5
