algorithm,rsr_db,n_ok,n_failed,failure_rate,nmse_db,median_nmse_db,aggregate_minus_median_db,worse_than_zero_rate,top1pct_energy_share,top5pct_energy_share
biased_gs,0.0,500,0,0.0,-3.2667450495922834,-5.984537720930777,2.7177926713384934,0.112,0.08718070338541735,0.2894736962264922
biased_gs,1.0,500,0,0.0,-3.523317963741179,-6.349327506808766,2.8260095430675873,0.096,0.09675962790167905,0.2989689181014654
biased_gs,2.0,500,0,0.0,-3.9863607933242022,-6.608415120053882,2.62205432672968,0.08,0.10015355538934406,0.31518012909929277
biased_gs,3.0,500,0,0.0,-5.171210124150604,-6.97571622291668,1.8045060987660761,0.042,0.10579241120776539,0.2724869302691871
biased_gs,4.0,500,0,0.0,-5.903974178596146,-7.678791421451599,1.7748172428554536,0.032,0.10227588119742988,0.2704831012780489
biased_gs,5.0,500,0,0.0,-6.2096341679687175,-7.933449001327858,1.7238148333591408,0.024,0.10678170028139042,0.2647986541018075
biased_gs,6.0,500,0,0.0,-7.003941593983472,-8.346887756852631,1.3429461628691586,0.01,0.07301945018669043,0.21048197839579846
biased_gs,7.0,500,0,0.0,-7.226459909498208,-8.570714504216513,1.344254594718305,0.006,0.06577672561039646,0.21128801424016463
biased_gs,8.0,500,0,0.0,-7.883062069129835,-8.768572361245749,0.8855102921159137,0.002,0.059867519453113416,0.17691862163493108
biased_gs,9.0,500,0,0.0,-8.186609010451361,-9.017530405827044,0.8309213953756824,0.0,0.03822228570742055,0.14362234174195823
biased_gs,10.0,500,0,0.0,-8.062954975554224,-8.910647854250014,0.8476928786957902,0.004,0.07209643702258778,0.17058881745444243
biased_gs,11.0,500,0,0.0,-8.329542853862783,-9.30026907782175,0.970726223958966,0.002,0.055320932752312445,0.17815001654274207
biased_gs,12.0,500,0,0.0,-8.793037454917267,-9.590006663028356,0.79696920811109,0.002,0.0611803559736726,0.1685873527266993
biased_gs,13.0,500,0,0.0,-8.787967723930342,-9.683414346665787,0.8954466227354452,0.0,0.041778920104992255,0.16286929318477741
biased_gs,14.0,500,0,0.0,-8.662027249161673,-9.599253695425084,0.937226446263411,0.0,0.05197847627954702,0.1758080749639897
biased_gs,15.0,500,0,0.0,-9.09588641639973,-9.830057857787942,0.7341714413882112,0.0,0.03806275514296302,0.15070117460423627
biased_gs,16.0,500,0,0.0,-9.236617198769519,-10.040940574218432,0.804323375448913,0.0,0.045843995130651606,0.15407545620927018
biased_gs,17.0,500,0,0.0,-9.359087175010327,-10.173376179353813,0.8142890043434861,0.0,0.0343942821576634,0.14077737237398524
biased_gs,18.0,500,0,0.0,-9.262289233790057,-9.971262830930534,0.7089735971404778,0.0,0.04454076165359532,0.15715548791655892
biased_gs,19.0,500,0,0.0,-9.36121647246065,-10.098205350228664,0.7369888777680131,0.0,0.03866982608024681,0.14003452007883202
biased_gs,20.0,500,0,0.0,-9.330227887445773,-9.964039099707461,0.6338112122616888,0.0,0.04317520743371797,0.14600412205437424
biased_gs,21.0,500,0,0.0,-9.690727861775432,-10.42289204808627,0.7321641863108379,0.0,0.037877333163954634,0.14646770291459207
biased_gs,22.0,500,0,0.0,-9.708010169280996,-10.501675525022911,0.7936653557419149,0.0,0.039394493368094294,0.15428630507811908
biased_gs,23.0,500,0,0.0,-9.697931302213075,-10.444025810127851,0.7460945079147763,0.0,0.03208776548837379,0.13319169100580286
biased_gs,24.0,500,0,0.0,-9.765593127510677,-10.253298939632113,0.4877058121214368,0.0,0.036476544534189075,0.13697631868896
biased_gs,25.0,500,0,0.0,-9.840923927905024,-10.404506769867236,0.5635828419622122,0.0,0.040323161448940124,0.14277148771783607
cui_crlb,0.0,500,0,0.0,-9.34542422239775,-9.406881618744388,0.06145739634663805,0.0,0.013030262729052488,0.06064260504505563
cui_crlb,1.0,500,0,0.0,-9.399339333251161,-9.47292582658114,0.07358649332997835,0.0,0.013849369134688098,0.061833864713448594
cui_crlb,2.0,500,0,0.0,-9.460919378832545,-9.517859990547166,0.05694061171462117,0.0,0.012674082643686246,0.06056041900744609
cui_crlb,3.0,500,0,0.0,-9.506911336277216,-9.579727201272318,0.07281586499510162,0.0,0.012534718820214435,0.059580062599545645
cui_crlb,4.0,500,0,0.0,-9.614268363694919,-9.66495862951366,0.0506902658187407,0.0,0.01238916006010912,0.0589842195538638
cui_crlb,5.0,500,0,0.0,-9.689142280552257,-9.734674089928221,0.045531809375964016,0.0,0.012226333444828666,0.05813461757890952
cui_crlb,6.0,500,0,0.0,-9.740106607278285,-9.785931395392906,0.04582478811462032,0.0,0.012332825919527607,0.057817281145074215
cui_crlb,7.0,500,0,0.0,-9.853031398433885,-9.902707325144876,0.04967592671099119,0.0,0.012100548680570505,0.05715929739804871
cui_crlb,8.0,500,0,0.0,-9.871436470189558,-9.915840564745285,0.044404094555726914,0.0,0.012537209284793181,0.058401164089682406
cui_crlb,9.0,500,0,0.0,-9.984338586626953,-10.01717536740623,0.03283678077927732,0.0,0.011809070512946907,0.05642079789908662
cui_crlb,10.0,500,0,0.0,-10.053198625557949,-10.079096445603447,0.025897820045498676,0.0,0.011808572147802341,0.05650176747785192
cui_crlb,11.0,500,0,0.0,-10.096412147646225,-10.12490230112327,0.028490153477045865,0.0,0.01179657330305192,0.056367541225559106
cui_crlb,12.0,500,0,0.0,-10.144615246172833,-10.179526567260353,0.034911321087520264,0.0,0.011703173065158435,0.05643658738577245
cui_crlb,13.0,500,0,0.0,-10.199034891571369,-10.230652400036096,0.031617508464726995,0.0,0.011556498717296708,0.055640107348088226
cui_crlb,14.0,500,0,0.0,-10.241725848649192,-10.266745728421904,0.025019879772711917,0.0,0.011666696127221174,0.05582884655631005
cui_crlb,15.0,500,0,0.0,-10.263257147332789,-10.296694804188547,0.03343765685575839,0.0,0.01190251752521489,0.05621455153081909
cui_crlb,16.0,500,0,0.0,-10.286335072222494,-10.311161376816118,0.024826304593624116,0.0,0.01164291625207339,0.05591401352195541
cui_crlb,17.0,500,0,0.0,-10.312696631196356,-10.345604481933215,0.032907850736858535,0.0,0.01155976942394762,0.055410260805182854
cui_crlb,18.0,500,0,0.0,-10.340977366166706,-10.375299313885154,0.03432194771844799,0.0,0.01177155862087286,0.055854799776463994
cui_crlb,19.0,500,0,0.0,-10.369812681664222,-10.397737299049615,0.02792461738539309,0.0,0.011325946438397237,0.05494476249997665
cui_crlb,20.0,500,0,0.0,-10.372427375854762,-10.41339441442034,0.040967038565577596,0.0,0.011824218035010185,0.055740548490558976
cui_crlb,21.0,500,0,0.0,-10.390731179110368,-10.426638383797348,0.035907204686980165,0.0,0.011402151399591205,0.05521578698630059
cui_crlb,22.0,500,0,0.0,-10.405612689623808,-10.427543882939222,0.02193119331541382,0.0,0.011355184508548905,0.05481561615862526
cui_crlb,23.0,500,0,0.0,-10.428880585065869,-10.454476256597285,0.025595671531416286,0.0,0.011298979276731728,0.0547742501120433
cui_crlb,24.0,500,0,0.0,-10.448921147311431,-10.489455713890115,0.040534566578683595,0.0,0.011450690518766968,0.05516307729479697
cui_crlb,25.0,500,0,0.0,-10.444152383360787,-10.469051014187796,0.024898630827008716,0.0,0.011568472820797678,0.055407324039595245
em_gs,0.0,500,0,0.0,-5.040804652550353,-7.94469533985297,2.903890687302617,0.064,0.11353798657917497,0.3468388702739955
em_gs,1.0,500,0,0.0,-5.311535786431714,-8.073292443604341,2.7617566571726275,0.042,0.12856429723009724,0.33025405134661534
em_gs,2.0,500,0,0.0,-5.6884654250617075,-8.345430473689005,2.6569650486272973,0.036,0.14372039356387012,0.36732183751213
em_gs,3.0,500,0,0.0,-6.845779783757216,-8.67157544019641,1.825795656439194,0.024,0.1216081867286423,0.28789799525799226
em_gs,4.0,500,0,0.0,-7.459300828284104,-9.077055513173052,1.617754684888948,0.012,0.10688965615597726,0.24630876308738472
em_gs,5.0,500,0,0.0,-7.701511136400584,-9.165726817770555,1.4642156813699705,0.006,0.12261561102523087,0.25573179197940765
em_gs,6.0,500,0,0.0,-8.492027951820491,-9.5579751658084,1.0659472139879096,0.0,0.05511939623551323,0.1739123520174159
em_gs,7.0,500,0,0.0,-8.469375738936574,-9.574768691737823,1.1053929528012496,0.002,0.06019388543066631,0.19549940268620683
em_gs,8.0,500,0,0.0,-8.958963375862265,-9.869006797331673,0.9100434214694086,0.002,0.05975538437252757,0.1714376107888547
em_gs,9.0,500,0,0.0,-9.111803844196182,-9.951153917495585,0.8393500732994035,0.0,0.038354072937320044,0.14464829703263002
em_gs,10.0,500,0,0.0,-9.002608924635565,-9.726525746616261,0.723916821980696,0.002,0.061627831297242,0.15838929682006125
em_gs,11.0,500,0,0.0,-9.215951605686994,-10.085789021547924,0.8698374158609301,0.0,0.04141413052652984,0.15488566702564016
em_gs,12.0,500,0,0.0,-9.578145261493926,-10.31655017019948,0.7384049087055544,0.0,0.043533262473437175,0.15194737001412437
em_gs,13.0,500,0,0.0,-9.4382891877335,-10.077793211345615,0.6395040236121154,0.0,0.04382959963894949,0.15812552786011722
em_gs,14.0,500,0,0.0,-9.264680685573875,-10.077164497158222,0.8124838115843467,0.0,0.04393655848101216,0.15948678184298978
em_gs,15.0,500,0,0.0,-9.611298848606392,-10.211796571143338,0.6004977225369466,0.0,0.03757618032199274,0.14312132347238415
em_gs,16.0,500,0,0.0,-9.603057789312544,-10.440950820516385,0.8378930312038406,0.0,0.04614205322829891,0.1543960487602902
em_gs,17.0,500,0,0.0,-9.735926945554333,-10.487321196935888,0.751394251381555,0.0,0.03488810206075779,0.14125759586556144
em_gs,18.0,500,0,0.0,-9.589001505255137,-10.404347220647843,0.8153457153927057,0.0,0.04424355787622064,0.15184478561830564
em_gs,19.0,500,0,0.0,-9.631604950230763,-10.56489247444669,0.9332875242159275,0.0,0.0355054057175214,0.1367923570409679
em_gs,20.0,500,0,0.0,-9.587507484837074,-10.10071795562624,0.5132104707891667,0.0,0.04161128039361763,0.14428097856731564
em_gs,21.0,500,0,0.0,-9.955542547301024,-10.61746113295095,0.6619185856499268,0.0,0.038649475796102534,0.1452614500298877
em_gs,22.0,500,0,0.0,-9.940158290672768,-10.702973832391397,0.7628155417186289,0.0,0.03930750633911695,0.1523042532114806
em_gs,23.0,500,0,0.0,-9.88949102051211,-10.611495917657072,0.7220048971449611,0.0,0.03152386696667113,0.13210483811950663
em_gs,24.0,500,0,0.0,-9.940084121883636,-10.412417789058965,0.4723336671753291,0.0,0.036379164566660904,0.13631378086556392
em_gs,25.0,500,0,0.0,-9.984677107147292,-10.600100902704286,0.6154237955569943,0.0,0.03937876537906898,0.14227729539870693
genie_zf,0.0,500,0,0.0,-13.807899708846936,-14.274813448156632,0.46691373930969604,0.0,0.03448138711908705,0.1323253505368181
genie_zf,1.0,500,0,0.0,-13.48735453125516,-14.179081776766658,0.6917272455114976,0.0,0.03946258308200003,0.13905763146856037
genie_zf,2.0,500,0,0.0,-13.420998476826407,-13.975795344599437,0.55479686777303,0.0,0.03247608552751035,0.12900255184866619
genie_zf,3.0,500,0,0.0,-13.464823941922416,-14.050127126602751,0.5853031846803347,0.0,0.03218185503098112,0.132261551938376
genie_zf,4.0,500,0,0.0,-13.488002356242468,-14.019129421887069,0.5311270656446005,0.0,0.03456843721869175,0.12880283577585233
genie_zf,5.0,500,0,0.0,-13.54553409205933,-14.120310613610316,0.5747765215509855,0.0,0.03145278951251423,0.13217031503036913
genie_zf,6.0,500,0,0.0,-13.545378791963678,-14.10663830741137,0.5612595154476914,0.0,0.031576867560017756,0.13200393288761922
genie_zf,7.0,500,0,0.0,-13.77228078997934,-14.292326174569672,0.5200453845903326,0.0,0.0326816611185541,0.12758811615868199
