epoch,train_loss_db,val_nmse_db,lr,seconds
0,-11.647902505257584,-4.972449769183615,0.000985470908713026,1385.4
1,-12.594186747461965,-5.4294405611286365,0.000942728012826605,786.3
2,-12.951783504356039,-5.626260672137715,0.0008742553740855506,783.5
3,-13.30344376797909,-5.859244628336069,0.0007840323733655781,775.3
4,-13.618622171652948,-6.090742402384443,0.0006773024435212678,797.1
5,-14.088180346745576,-6.423065521292824,0.0005602683401276615,795.0
6,-14.592914449363033,-6.6559320842854754,0.00043973165987233864,781.9
7,-14.944963213387892,-6.768568220147754,0.00032269755647873233,779.9
8,-15.147800423618602,-6.853001130505922,0.00021596762663442218,777.4
9,-15.276251391261992,-6.890619779024643,0.00012574462591444943,776.6
10,-15.36660728576905,-6.912137233739246,5.727198717339522e-05,769.1
11,-15.42790761375417,-6.926955730737852,1.4529091286973998e-05,750.9
12,-15.462713288229148,-6.930881623425003,0.0,759.7
