algorithm,rsr_db,ber,ber_ci95_low,ber_ci95_high,bit_errors,bit_count,n_trials
biased_gs,0.0,0.19519444444444445,0.19113278922540247,0.19932114261126874,7027,36000,3000
biased_gs,6.0,0.1103611111111111,0.10716582029779166,0.11363954759366805,3973,36000,3000
biased_gs,12.0,0.07775,0.07502871073267844,0.08056139387401431,2799,36000,3000
biased_gs,18.0,0.06986111111111111,0.06727351754498806,0.07254049270661628,2515,36000,3000
biased_gs,25.0,0.06319444444444444,0.060727355192368465,0.06575474433662593,2275,36000,3000
em_gs,0.0,0.15641666666666668,0.1527010052374991,0.16020564589599098,5631,36000,3000
em_gs,6.0,0.09325,0.09028948654501433,0.09629731049174654,3357,36000,3000
em_gs,12.0,0.07072222222222223,0.0681195891636233,0.07341645955631816,2546,36000,3000
em_gs,18.0,0.06691666666666667,0.06438138380044049,0.06954436588201111,2409,36000,3000
em_gs,25.0,0.06202777777777778,0.05958256434888085,0.06456645080365679,2233,36000,3000
exhaustive_ls,0.0,0.15658333333333332,0.1528660267660873,0.16037392213546797,5637,36000,3000
exhaustive_ls,6.0,0.10158333333333333,0.09850505596518307,0.10474662947484024,3657,36000,3000
exhaustive_ls,12.0,0.07263888888888889,0.07000318587172911,0.07536578718096272,2615,36000,3000
exhaustive_ls,18.0,0.06530555555555556,0.0627994971958644,0.0679043740619565,2351,36000,3000
exhaustive_ls,25.0,0.058361111111111114,0.055986311792382955,0.06083015246271923,2101,36000,3000
exhaustive_ml,0.0,0.12347222222222222,0.12011401964874878,0.12691077266384382,4445,36000,3000
exhaustive_ml,6.0,0.08661111111111111,0.08374960088629778,0.08956083505586403,3118,36000,3000
exhaustive_ml,12.0,0.06613888888888889,0.06361765989477156,0.06875270020337557,2381,36000,3000
exhaustive_ml,18.0,0.06413888888888888,0.061654269555800584,0.06671651732556355,2309,36000,3000
exhaustive_ml,25.0,0.05761111111111111,0.05525103897905641,0.06006558531975216,2074,36000,3000
genie_zf,0.0,0.013027777777777777,0.011907302252971045,0.014252169088383542,469,36000,3000
genie_zf,6.0,0.011972222222222223,0.010899657655534687,0.013148927821406661,431,36000,3000
genie_zf,12.0,0.012194444444444445,0.011111617343920369,0.013381365157107979,439,36000,3000
genie_zf,18.0,0.0125,0.011403218395371234,0.013700810013776736,450,36000,3000
genie_zf,25.0,0.012166666666666666,0.011085117071286201,0.013352315801731268,438,36000,3000
