epoch,train_loss,val_nmse_db,lr,seconds
0,0.027812964609637857,-15.729754330734263,0.000985470908713026,683.6
1,0.02595232393592596,-15.903877449442739,0.000942728012826605,570.7
2,0.024652857924252747,-16.15195128003436,0.0008742553740855506,569.5
3,0.023292237625271082,-16.360448504452584,0.0007840323733655781,573.8
4,0.021939937496557833,-16.585914866338516,0.0006773024435212678,552.0
5,0.020814652616530656,-16.804830300678013,0.0005602683401276615,580.1
6,0.01986681827865541,-16.926403577060757,0.00043973165987233864,580.9
7,0.019144551803171636,-17.061071914658935,0.00032269755647873233,569.0
8,0.018594657852500678,-17.118362457597005,0.00021596762663442218,570.0
9,0.018162284916639328,-17.163584897075427,0.00012574462591444943,566.6
10,0.017847916578128935,-17.20377247873422,5.727198717339522e-05,573.5
11,0.017617145647108555,-17.223796626582526,1.4529091286973998e-05,566.0
