epoch,train_loss_db,val_nmse_db,lr,seconds,mean_beta
0,-13.725617704160234,-14.077733598727216,0.000985470908713026,1062.7,0.0
1,-14.549708014576943,-14.922037117309214,0.000942728012826605,604.6,0.0
2,-15.39750525782327,-15.739822141670315,0.0008742553740855506,615.2,0.0
3,-16.11167471389892,-16.256499335894382,0.0007840323733655781,580.2,0.0
4,-16.575471369595707,-16.60996347427098,0.0006773024435212678,593.9,0.0
5,-16.8608052334006,-16.76496484701086,0.0005602683401276615,603.1,0.0
6,-17.061674451720965,-16.908553049665667,0.00043973165987233864,606.3,0.0
7,-17.205749042594014,-16.9993694659232,0.00032269755647873233,569.6,0.0
8,-17.329085429897045,-17.07052946012086,0.00021596762663442218,577.1,0.0
9,-17.431639955947713,-17.118025887766485,0.00012574462591444943,587.5,0.0
10,-17.5173682613439,-17.151267878965932,5.727198717339522e-05,563.8,0.0
11,-17.578870978715468,-17.171283026000385,1.4529091286973998e-05,545.1,0.0
12,-17.61741481642541,-17.17931935244345,0.0,583.9,0.0
