epoch,train_loss_db,val_nmse_db,lr,seconds,mean_alpha
0,-4.22121915822581,-4.8406504696730295,0.000996057350657239,454.6,0.11483714133501052
1,-5.04562116401288,-5.02313043974441,0.0009842915805643156,222.7,0.11044627949595451
2,-5.208806252431391,-5.161345269950763,0.0009648882429441258,222.3,0.12085698172450066
3,-5.347195739944853,-5.209852461014152,0.0009381533400219318,219.5,0.13434473797678947
4,-5.503165924654834,-5.401895519419697,0.0009045084971874737,244.4,0.1503875469788909
5,-5.698549042236781,-5.543857917873157,0.0008644843137107057,232.7,0.1689219197258353
6,-5.889971102497812,-5.721890912820057,0.0008187119948743448,223.8,0.1797564523294568
7,-6.099660394190261,-5.923470719929854,0.0007679133974894982,234.0,0.1894144949503243
8,-6.324015680091289,-6.09069253734522,0.0007128896457825362,224.2,0.1963750295341015
9,-6.5405606466684985,-6.181433275879316,0.0006545084971874736,222.2,0.201554009411484
10,-6.710938304329329,-6.317144831519704,0.0005936906572928624,220.2,0.20635930988937617
11,-6.858872326248045,-6.298492665915277,0.0005313952597646568,221.7,0.2085086965933442
12,-6.991512304471556,-6.328236015424206,0.00046860474023534336,227.1,0.2097262996248901
13,-7.1093556775721245,-6.325801587129369,0.0004063093427071377,229.0,0.2097258531488478
14,-7.227728723364275,-6.301328945566641,0.00034549150281252644,243.2,0.20986463706940411
15,-7.337155636697705,-6.281033866655818,0.00028711035421746366,252.9,0.20933436080813408
16,-7.439901514480482,-6.260070765299359,0.00023208660251050156,228.4,0.20902958679944278
17,-7.535059630225116,-6.24251923187081,0.00018128800512565513,221.3,0.20887137474492193
18,-7.6234324934675275,-6.204596661257779,0.00013551568628929433,226.9,0.20861008362844585
19,-7.702570475751207,-6.1893954564662135,9.549150281252634e-05,219.9,0.20849836077541112
20,-7.7705939956261165,-6.174822252554087,6.184665997806823e-05,218.2,0.20831751050427555
21,-7.8263969989082005,-6.142199183576878,3.511175705587433e-05,241.2,0.20829177778214217
22,-7.869765976228864,-6.136511682982842,1.570841943568452e-05,227.7,0.20823336634784936
23,-7.899632186902627,-6.122771660945032,3.942649342761118e-06,247.3,0.20822158111259342
24,-7.916701038607929,-6.1175198255610805,0.0,237.3,0.20819625533185898
