epoch,train_loss_db,val_nmse_db,lr,seconds
0,-11.693365147887656,-4.950251341498053,0.000985470908713026,1347.5
1,-12.552268725887743,-5.297033571051655,0.000942728012826605,666.8
2,-12.865042373473495,-5.658216954176555,0.0008742553740855506,652.9
3,-13.503389587880303,-6.013341938799398,0.0007840323733655781,642.5
4,-14.025259424131828,-6.289001911444823,0.0006773024435212678,643.1
5,-14.422786506164446,-6.489059903261357,0.0005602683401276615,653.6
6,-14.73563246203777,-6.640302768008649,0.00043973165987233864,637.2
7,-15.02472418517802,-6.768731703223222,0.00032269755647873233,637.3
8,-15.195933997880571,-6.822935890069961,0.00021596762663442218,632.7
9,-15.315927527452605,-6.864252547851546,0.00012574462591444943,662.1
10,-15.404104635018097,-6.881444078897754,5.727198717339522e-05,645.6
11,-15.46556305818254,-6.9001051702288905,1.4529091286973998e-05,645.1
12,-15.501868408393836,-6.9033360163982795,0.0,643.1
