epoch,train_loss_db,val_nmse_db,lr,seconds
0,-2.8909339840431962,-3.425271203555506,0.000985470908713026,1218.7
1,-3.634557956251751,-3.580326757862857,0.000942728012826605,539.4
2,-3.827071460695071,-3.7763886740150623,0.0008742553740855506,575.8
3,-4.01373728171217,-3.953490689588157,0.0007840323733655781,577.0
4,-4.216895472926058,-4.116030617015795,0.0006773024435212678,566.6
5,-4.4440110145651115,-4.364663371107927,0.0005602683401276615,545.9
6,-4.664482511095044,-4.516144693724748,0.00043973165987233864,562.6
7,-4.834037808631397,-4.611121546440052,0.00032269755647873233,557.2
8,-4.950107158635064,-4.6600068664107575,0.00021596762663442218,531.5
9,-5.041006421585445,-4.688690259858062,0.00012574462591444943,540.5
10,-5.1129901723910764,-4.6952284049530615,5.727198717339522e-05,550.6
11,-5.166256368274645,-4.701430990809802,1.4529091286973998e-05,572.3
12,-5.198517397102674,-4.701640881978445,0.0,560.1
