experiment,config_fingerprint,track,trial,snr_db,rsr_db,N,K,P,modulation,algorithm,metric,value,error_energy,true_energy,expected_symbol_energy,bit_errors,bit_count,status,error_type,error_message,master_seed,sigma2,alpha_b_abs,max_iter
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,0,12,36,3,1,16-QAM,biased_gs,detection_nmse,0.51234015285040024,1.5370204585512008,,3,,,ok,,,20260818,3,3.9810717055349718,50
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,0,12,36,3,1,16-QAM,em_gs,detection_nmse,0.37050469408076925,1.1115140822423077,,3,,,ok,,,20260818,3,3.9810717055349718,50
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,0,12,36,3,1,16-QAM,genie_zf,detection_nmse,0.10337878881284424,0.31013636643853271,,3,,,ok,,,20260818,3,3.9810717055349718,50
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,0,12,36,3,1,16-QAM,cui_crlb,detection_nmse,0.19821550409459154,0.59464651228377463,,3,,,ok,,,20260818,3,3.9810717055349718,50
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,1,12,36,3,1,16-QAM,biased_gs,detection_nmse,0.24365163332054482,0.73095489996163443,,3,,,ok,,,20260818,2.3829847041728445,3.9810717055349731,50
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,1,12,36,3,1,16-QAM,em_gs,detection_nmse,0.23582462484794142,0.70747387454382427,,3,,,ok,,,20260818,2.3829847041728445,3.9810717055349731,50
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,1,12,36,3,1,16-QAM,genie_zf,detection_nmse,0.10223881274770742,0.30671643824312228,,3,,,ok,,,20260818,2.3829847041728445,3.9810717055349731,50
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,1,12,36,3,1,16-QAM,cui_crlb,detection_nmse,0.14564024003703538,0.43692072011110616,,3,,,ok,,,20260818,2.3829847041728445,3.9810717055349731,50
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,2,12,36,3,1,16-QAM,biased_gs,detection_nmse,0.096292802161548452,0.28887840648464536,,3,,,ok,,,20260818,1.8928720334405795,3.9810717055349718,50
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,2,12,36,3,1,16-QAM,em_gs,detection_nmse,0.10894840204357475,0.32684520613072426,,3,,,ok,,,20260818,1.8928720334405795,3.9810717055349718,50
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,2,12,36,3,1,16-QAM,genie_zf,detection_nmse,0.023899996182488528,0.071699988547465579,,3,,,ok,,,20260818,1.8928720334405795,3.9810717055349718,50
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,2,12,36,3,1,16-QAM,cui_crlb,detection_nmse,0.14333879221283896,0.43001637663851688,,3,,,ok,,,20260818,1.8928720334405795,3.9810717055349718,50
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,3,12,36,3,1,16-QAM,biased_gs,detection_nmse,0.11605167076254963,0.34815501228764889,,3,,,ok,,,20260818,1.503561700881817,3.9810717055349722,50
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,3,12,36,3,1,16-QAM,em_gs,detection_nmse,0.12717163592842409,0.38151490778527225,,3,,,ok,,,20260818,1.503561700881817,3.9810717055349722,50
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,3,12,36,3,1,16-QAM,genie_zf,detection_nmse,0.051263593954750442,0.15379078186425132,,3,,,ok,,,20260818,1.503561700881817,3.9810717055349722,50
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,3,12,36,3,1,16-QAM,cui_crlb,detection_nmse,0.094604581087575079,0.28381374326272524,,3,,,ok,,,20260818,1.503561700881817,3.9810717055349722,50
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,4,12,36,3,1,16-QAM,biased_gs,detection_nmse,0.10660093101676182,0.31980279305028547,,3,,,ok,,,20260818,1.1943215116604917,3.9810717055349722,50
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,4,12,36,3,1,16-QAM,em_gs,detection_nmse,0.088910260205932734,0.2667307806177982,,3,,,ok,,,20260818,1.1943215116604917,3.9810717055349722,50
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,4,12,36,3,1,16-QAM,genie_zf,detection_nmse,0.022672723189660644,0.068018169568981934,,3,,,ok,,,20260818,1.1943215116604917,3.9810717055349722,50
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,4,12,36,3,1,16-QAM,cui_crlb,detection_nmse,0.071236156750135726,0.21370847025040718,,3,,,ok,,,20260818,1.1943215116604917,3.9810717055349722,50
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,5,12,36,3,1,16-QAM,biased_gs,detection_nmse,0.037268636420934372,0.11180590926280311,,3,,,ok,,,20260818,0.94868329805051377,3.9810717055349727,50
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,5,12,36,3,1,16-QAM,em_gs,detection_nmse,0.038074800356906142,0.11422440107071842,,3,,,ok,,,20260818,0.94868329805051377,3.9810717055349727,50
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,5,12,36,3,1,16-QAM,genie_zf,detection_nmse,0.012741977876795525,0.038225933630386573,,3,,,ok,,,20260818,0.94868329805051377,3.9810717055349727,50
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,5,12,36,3,1,16-QAM,cui_crlb,detection_nmse,0.055250341601175888,0.16575102480352766,,3,,,ok,,,20260818,0.94868329805051377,3.9810717055349727,50
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,6,12,36,3,1,16-QAM,biased_gs,detection_nmse,0.10674073963370097,0.32022221890110292,,3,,,ok,,,20260818,0.75356592945287404,3.9810717055349736,50
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,6,12,36,3,1,16-QAM,em_gs,detection_nmse,0.098413368391237779,0.29524010517371335,,3,,,ok,,,20260818,0.75356592945287404,3.9810717055349736,50
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,6,12,36,3,1,16-QAM,genie_zf,detection_nmse,0.023524097691449985,0.070572293074349951,,3,,,ok,,,20260818,0.75356592945287404,3.9810717055349736,50
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,6,12,36,3,1,16-QAM,cui_crlb,detection_nmse,0.046062927270120131,0.1381887818103604,,3,,,ok,,,20260818,0.75356592945287404,3.9810717055349736,50
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,7,12,36,3,1,16-QAM,biased_gs,detection_nmse,0.037605393190124285,0.11281617957037286,,3,,,ok,,,20260818,0.59857869449066403,3.9810717055349727,50
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,7,12,36,3,1,16-QAM,em_gs,detection_nmse,0.041795744830263735,0.1253872344907912,,3,,,ok,,,20260818,0.59857869449066403,3.9810717055349727,50
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,7,12,36,3,1,16-QAM,genie_zf,detection_nmse,0.01039222734505549,0.031176682035166468,,3,,,ok,,,20260818,0.59857869449066403,3.9810717055349727,50
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,7,12,36,3,1,16-QAM,cui_crlb,detection_nmse,0.037235274951483655,0.11170582485445096,,3,,,ok,,,20260818,0.59857869449066403,3.9810717055349727,50
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,8,12,36,3,1,16-QAM,biased_gs,detection_nmse,0.11010263145608874,0.33030789436826624,,3,,,ok,,,20260818,0.475467957738334,3.9810717055349727,50
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,8,12,36,3,1,16-QAM,em_gs,detection_nmse,0.087572642101064538,0.26271792630319363,,3,,,ok,,,20260818,0.475467957738334,3.9810717055349727,50
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,8,12,36,3,1,16-QAM,genie_zf,detection_nmse,0.014919218456504723,0.04475765536951417,,3,,,ok,,,20260818,0.475467957738334,3.9810717055349727,50
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,8,12,36,3,1,16-QAM,cui_crlb,detection_nmse,0.031768176850104413,0.095304530550313238,,3,,,ok,,,20260818,0.475467957738334,3.9810717055349727,50
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,9,12,36,3,1,16-QAM,biased_gs,detection_nmse,0.017593342070353249,0.052780026211059747,,3,,,ok,,,20260818,0.37767762353825013,3.9810717055349722,50
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,9,12,36,3,1,16-QAM,em_gs,detection_nmse,0.018018375435508809,0.054055126306526424,,3,,,ok,,,20260818,0.37767762353825013,3.9810717055349722,50
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,9,12,36,3,1,16-QAM,genie_zf,detection_nmse,0.0023184625773558748,0.0069553877320676248,,3,,,ok,,,20260818,0.37767762353825013,3.9810717055349722,50
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,9,12,36,3,1,16-QAM,cui_crlb,detection_nmse,0.023567721578235903,0.07070316473470771,,3,,,ok,,,20260818,0.37767762353825013,3.9810717055349722,50
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,10,12,36,3,1,16-QAM,biased_gs,detection_nmse,0.031625073661047706,0.094875220983143119,,3,,,ok,,,20260818,0.29999999999999999,3.9810717055349722,50
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,10,12,36,3,1,16-QAM,em_gs,detection_nmse,0.034599204200280946,0.10379761260084283,,3,,,ok,,,20260818,0.29999999999999999,3.9810717055349722,50
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,10,12,36,3,1,16-QAM,genie_zf,detection_nmse,0.009916925787769074,0.02975077736330722,,3,,,ok,,,20260818,0.29999999999999999,3.9810717055349722,50
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,10,12,36,3,1,16-QAM,cui_crlb,detection_nmse,0.017905655848791096,0.053716967546373284,,3,,,ok,,,20260818,0.29999999999999999,3.9810717055349722,50
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,11,12,36,3,1,16-QAM,biased_gs,detection_nmse,0.028171685275299913,0.084515055825899743,,3,,,ok,,,20260818,0.23829847041728441,3.9810717055349727,50
