algorithm,snr_db,rsr_db,n_ok,n_failed,nmse_linear,nmse_db,se_linear,se_db,nmse_db_ci95_low,nmse_db_ci95_high,total_error_energy,total_expected_symbol_energy
biased_gs,-5.0,12.0,2000,0,1.5508136651465108,1.9055961918039865,0.022562416050558903,0.06318446251398856,1.7817569208940478,2.0294354627139253,9304.881990879065,6000.0
biased_gs,-4.0,12.0,2000,0,1.124631574830196,0.5101027247057546,0.01732922860638686,0.06691958973791137,0.3789427389592521,0.641262710452257,6747.789448981176,6000.0
biased_gs,-3.0,12.0,2000,0,0.8304069291964602,-0.8070903558035811,0.01431321279242694,0.07485666503376946,-0.953806723272548,-0.6603739883346142,4982.441575178761,6000.0
biased_gs,-2.0,12.0,2000,0,0.6132008535237519,-2.123972493160355,0.010802029982930212,0.07650449258153806,-2.2739185432756814,-1.9740264430450285,3679.2051211425114,6000.0
biased_gs,-1.0,12.0,2000,0,0.4367278165831652,-3.5978914560135205,0.007503427645236428,0.07461620482939729,-3.7441365301422027,-3.451646381884838,2620.366899498991,6000.0
biased_gs,0.0,12.0,2000,0,0.3305292570703389,-4.807900925419142,0.005863566717887672,0.07704354804840349,-4.958903504835194,-4.65689834600309,1983.1755424220335,6000.0
biased_gs,1.0,12.0,2000,0,0.24498745094472854,-6.108561610437864,0.003981869482253917,0.07058744997481449,-6.246910470149023,-5.970212750726705,1469.9247056683712,6000.0
biased_gs,2.0,12.0,2000,0,0.1814842679629906,-7.411610159886712,0.0030014929489798193,0.07182616101354186,-7.55238684862103,-7.270833471152395,1088.9056077779437,6000.0
biased_gs,3.0,12.0,2000,0,0.13460932760461497,-8.709248451130957,0.0023190159479026915,0.07481917096993573,-8.855891331585175,-8.56260557067674,807.6559656276897,6000.0
biased_gs,4.0,12.0,2000,0,0.10275472469964257,-9.881981999744344,0.0016383010923491576,0.06924305682128734,-10.017695897293528,-9.74626810219516,616.5283481978554,6000.0
biased_gs,5.0,12.0,2000,0,0.07937964276148822,-11.00290859914412,0.0012081965657302306,0.06610172120926551,-11.132465592030389,-10.873351606257852,476.27785656892934,6000.0
biased_gs,6.0,12.0,2000,0,0.05967829690768704,-12.241835792040794,0.0008999432424093733,0.06549120944404295,-12.370196203855087,-12.1134753802265,358.06978144612225,6000.0
biased_gs,7.0,12.0,2000,0,0.0459215632980577,-13.37983335763316,0.0007020969671395953,0.06639949006322955,-13.509973966748916,-13.249692748517404,275.5293797883462,6000.0
biased_gs,8.0,12.0,2000,0,0.03606489646285695,-14.429153102692691,0.0005249901306355217,0.06321945690971016,-14.553060961357906,-14.305245244027477,216.3893787771417,6000.0
