epoch,train_loss,val_nmse_db,lr,seconds
0,-5.087533366635029,-5.695217671663527,0.000985470908713026,1669.9
1,-5.891976937804535,-5.909643755716868,0.000942728012826605,890.3
2,-6.0335833025010945,-6.017234373917772,0.0008742553740855506,891.0
3,-6.1506862823996675,-6.102841289389281,0.0007840323733655781,915.6
4,-6.253862551818519,-6.1702450680750545,0.0006773024435212678,914.0
5,-6.360530189205493,-6.272490661999594,0.0005602683401276615,921.6
6,-6.475679579427373,-6.352329389479769,0.00043973165987233864,874.8
7,-6.579208502824658,-6.400334509853842,0.00032269755647873233,911.5
8,-6.672991774507072,-6.434672767732852,0.00021596762663442218,868.8
