epoch,train_loss_db,val_nmse_db,lr,seconds
0,-4.707233726175775,-5.171235191934686,0.000985470908713026,1365.0
1,-5.389281411658745,-5.4288609239291405,0.000942728012826605,681.3
2,-5.5903501329071394,-5.556851946364294,0.0008742553740855506,697.2
3,-5.8222295825966945,-5.880456328243677,0.0007840323733655781,680.8
4,-6.125261422579079,-6.157064135506127,0.0006773024435212678,693.4
5,-6.403915670268976,-6.408713289668694,0.0005602683401276615,678.4
6,-6.6504436488755045,-6.55670476648511,0.00043973165987233864,677.6
