epoch,train_loss,val_nmse_db,lr,seconds
0,-13.738060633345375,-14.044278097713443,0.000985470908713026,728.5
1,-14.64094685169384,-15.03222904192935,0.000942728012826605,356.0
2,-15.50959772512108,-15.802284381179083,0.0008742553740855506,366.6
3,-16.132060041943983,-16.322455134702277,0.0007840323733655781,365.0
4,-16.64318579447997,-16.668953268234418,0.0006773024435212678,361.3
5,-16.94378121501567,-16.858164972042815,0.0005602683401276615,361.4
6,-17.13367586690219,-16.972672133845943,0.00043973165987233864,361.8
7,-17.28440457337612,-17.070206879180763,0.00032269755647873233,364.9
8,-17.415917873302615,-17.14735388070276,0.00021596762663442218,362.8
