epoch,train_loss,val_nmse_db,lr,seconds
0,0.05085331923514604,-5.570141063203376,0.000985470908713026,675.3
1,0.041471731331199406,-5.814798794321975,0.000942728012826605,576.9
2,0.03934806612432003,-5.947702387242694,0.0008742553740855506,582.9
3,0.03757569363191724,-6.106242683840689,0.0007840323733655781,587.4
4,0.03626372715830803,-6.211432594152474,0.0006773024435212678,583.8
5,0.035306417997181413,-6.304473788341166,0.0005602683401276615,580.1
6,0.03434827913716435,-6.385899811948538,0.00043973165987233864,593.4
7,0.0334654103346169,-6.428183309094986,0.00032269755647873233,578.8
8,0.03276548760682344,-6.46013888351984,0.00021596762663442218,575.1
9,0.03220016992837191,-6.492086467880541,0.00012574462591444943,609.2
10,0.031772844998538496,-6.509187890820853,5.727198717339522e-05,589.5
11,0.03148626110032201,-6.516374577743135,1.4529091286973998e-05,578.2
12,0.03131904855743051,-6.518370030326011,0.0,581.3
